"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"100001",0,0,0,0,0,0,0
"100002",0,0,0,0,0,0,0
"100003",0,0,0,0,0,0,0
"100004",0,0,0,0,0,0,0
"100005",0,0,0,0,0,0,0
"100006",0,0,0,0,0,0,0
"100007",0,0,0,0,0,0,0
"100008",0,0,0,0,0,0,0
"100009",0,0,0,0,0,0,0
"100010",0,0,0,0,0,0,0
"100011",0,0,0,0,0,0,0
"100012",0,0,0,0,0,0,0
"100013",0,0,0,0,0,0,0
"100014",0,0,0,0,0,0,0
"100015",0,0,0,0,0,0,0
"100016",0,0,0,0,0,0,0
"100017",0,0,0,0,0,0,0
"100018",0,0,0,0,0,0,0
"100019",0,0,0,0,0,0,0
"100020",0,0,0,0,0,0,0
"100021",0,0,0,0,0,0,0
"100022",0,0,0,0,0,0,0
"100023",0,0,0,0,0,0,0
"100024",0,0,0,0,0,0,0
"100025",0,0,0,0,0,0,0
"100026",0,0,0,0,0,0,0
"100027",0,0,0,0,0,0,0
"100028",0,0,0,0,0,0,0
"100029",0,0,0,0,0,0,0
"100030",0,0,0,0,0,0,0
"100031",0,0,0,0,0,0,0
"100032",0,0,0,0,0,0,0
"100033",0,0,0,0,0,0,0
"100034",0,0,1.24685154220042e-05,0,0,0,0
"100035",0,0,0,0,0,0,0
"100036",0,0,0,0,0,0,0
"100037",0,0,0,0,0,0,0
"100038",0,0,0,0,0,0,0
"100039",0,0,0,0,0,0,0
"100040",0,0,0,0,0,0,0
"100041",0,0,0,0,0,0,0
"100042",0,0,0,0,0,0,0
"100043",0,0,0,0,0,0,0
"100044",0,0,0,0,0,0,0
"100045",0,0,0,0,0,0,0
"100046",0,0,0,0,0,0,0
"100047",0,0,0,0,0,0,0
"100048",0,0,0,0,0,0,0
"100049",0,0,0,0,0,0,0
"100050",0,0,0,0,0,0,0
"100051",0,0,0,0,0,0,0
"100052",0,0,0,0,0,0,0
"100053",0,0,0.00306846311756601,0.00230399123882804,0,0.00269636921022007,0
"100054",0,0,0,0,0,0,0
"100055",0,0,0,0,0,0,0
"100056",0,0,0,0,0,0,0
"100057",0,0,0,0,0,0,0
"100058",0,0,0,0,0,0,0
"100059",0,0,0.00071135369407356,0,0,4.83534470203904e-05,0
"100060",0,0,0,0,0,0,0
"100061",0,0,0,0,0,0,0
"100062",0,0,0,0,0,0,0
"100063",0,0,0,0,0,0,0
"100064",0,0,0,0,0,0,0
"100065",0,0,0,0,0,0,0
"100066",0,0,0,0,0,0,0
"100067",0,0,0,0,0,0,0
"100068",0,0,0,0,0,0,0
"100069",0,0,0,0,0,0,0
